Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL
2011-10-13,64.43032836914061,20.458171844482425,,12.039999961853027,48.24097442626953,11.992555618286133,25.79999923706055,4.96999979019165,58.85676956176758,8.450209617614746,82.80839538574219,14.17141342163086
2011-10-14,65.33302307128906,20.68570709228516,,12.300000190734865,49.60772323608398,11.992555618286133,26.809999465942386,4.920000076293945,59.78194808959961,8.547806739807129,84.3342056274414,14.530274391174315
2011-10-17,62.84025955200195,20.41501808166504,,11.739999771118164,48.71343231201172,11.983272552490234,26.239999771118164,4.670000076293945,58.6402359008789,8.336344718933105,81.46959686279297,13.949766159057615
2011-10-18,64.89408874511719,20.57193374633789,,11.850000381469727,48.48564529418945,12.076094627380373,26.76000022888184,4.829999923706055,60.60869979858398,8.70233154296875,85.44660186767578,14.737848281860352
2011-10-19,64.34751892089844,20.88969612121582,,11.789999961853027,48.3759651184082,11.964710235595705,26.020000457763672,4.730000019073486,60.82521438598633,8.775529861450195,83.77310180664062,14.438797950744627
2011-10-20,65.15912628173828,21.203533172607425,,11.670000076293945,48.16504287719727,12.317431449890135,26.07999992370605,4.539999961853027,61.39606857299805,8.799927711486816,84.59015655517578,14.554902076721193
2011-10-21,66.64977264404297,21.12899398803711,,11.699999809265135,49.000282287597656,12.521638870239258,27.29999923706055,4.71999979019165,61.92756652832031,9.10085391998291,86.08646392822266,15.029860496520994
2011-10-24,68.05765533447266,20.968151092529297,,12.489999771118164,49.24494552612305,12.642306327819824,28.20000076293945,5.059999942779541,62.54761505126953,9.13338565826416,88.8526611328125,15.247995376586914
2011-10-25,63.80092239379883,20.787702560424805,,12.779999732971193,49.076210021972656,12.558767318725586,27.85000038146973,4.9099998474121085,62.53777694702149,8.799927711486816,85.99787139892578,14.685077667236328
2011-10-26,63.784385681152344,21.04661750793457,,13.760000228881836,49.10995864868164,12.53092098236084,27.809999465942386,5.099999904632568,62.3409423828125,8.91379165649414,88.28168487548828,15.138924598693848
2011-10-27,67.41996765136719,21.234914779663086,,15.130000114440918,51.5903434753418,12.456663131713867,28.34000015258789,5.539999961853027,64.94914245605469,9.36110782623291,96.85588836669922,16.454740524291992
2011-10-28,67.08041381835939,21.270219802856445,,15.279999732971193,52.10498428344727,12.493792533874512,29.020000457763672,5.940000057220459,64.63417816162111,9.474969863891602,95.54662322998048,16.44419288635254
2011-10-31,65.44066619873047,21.13291549682617,,15.0600004196167,50.8394775390625,12.428817749023438,29.40999984741211,5.829999923706055,64.04365539550781,9.125248908996582,91.16600799560548,15.86368179321289
2011-11-01,63.37856674194336,20.697465896606445,,14.329999923706055,48.47719955444336,12.298866271972654,28.59000015258789,5.300000190734863,63.79759216308594,8.8975248336792,87.1102523803711,15.117818832397461
2011-11-02,64.64564514160156,20.74454498291016,,14.510000228881836,49.33775329589844,12.3359956741333,29.35000038146973,5.460000038146973,63.876319885253906,9.18218231201172,90.19144439697266,15.656102180480955
2011-11-03,65.95413970947266,21.12114906311035,,17.770000457763672,49.9620590209961,12.419535636901855,30.15999984741211,5.730000019073486,65.02791595458984,9.41803741455078,92.82965087890624,16.074769973754886
2011-11-04,65.67256164550781,20.92107582092285,,18.729999542236328,49.13526916503906,12.586614608764648,29.790000915527344,5.670000076293945,64.97865295410156,9.686427116394043,92.0421371459961,15.93404769897461
2011-11-07,65.99552917480469,21.03876495361328,,18.739999771118164,48.93278121948242,12.753691673278807,29.920000076293945,5.679999828338622,65.40187835693361,9.702692985534668,92.2685546875,16.053665161132812
2011-11-08,67.76780700683594,21.28590965270996,,19.290000915527344,49.68365097045898,12.930054664611815,30.420000076293945,5.75,66.62230682373047,9.857223510742188,92.63278198242188,16.335124969482422
2011-11-09,65.42412567138672,20.768085479736328,,18.459999084472656,47.84445190429688,12.085376739501953,28.07999992370605,5.380000114440918,65.32313537597656,9.279776573181152,87.34650421142578,15.258548736572266
2011-11-10,66.51729583740234,21.164306640625,,18.57999992370605,48.08911895751953,12.048247337341307,28.03000068664551,5.6599998474121085,68.41358947753906,9.336706161499023,88.8427963256836,15.378168106079102
